"1013","P-05062019-782","P-05062019-7821861"
"1350","P-05072019-951","P-05072019-9516018"
"1321","P-05072019-951","P-05072019-9516292"
"1349","P-05072019-951","P-05072019-9517270"
"1351","P-05072019-952","P-05072019-9521774"
"1352","P-05072019-952","P-05072019-9522614"
"1322","P-05072019-952","P-05072019-9527883"
"1354","P-05072019-953","P-05072019-9534173"
"1323","P-05072019-953","P-05072019-9534534"
"1353","P-05072019-953","P-05072019-9539733"
"1324","P-05072019-954","P-05072019-9544142"
"1355","P-05072019-954","P-05072019-9546489"
"1356","P-05072019-954","P-05072019-9547893"
"1357","P-05072019-955","P-05072019-9552591"
"1358","P-05072019-955","P-05072019-9553470"
"1325","P-05072019-955","P-05072019-9555349"
"1359","P-05072019-956","P-05072019-9565433"
"1326","P-05072019-956","P-05072019-9566248"
"1360","P-05072019-956","P-05072019-9567209"
"1327","P-05072019-957","P-05072019-9571435"
"1361","P-05072019-957","P-05072019-9578223"
"1362","P-05072019-957","P-05072019-9579004"
"1328","P-05072019-958","P-05072019-9581693"
"1364","P-05072019-958","P-05072019-9582839"
"1363","P-05072019-958","P-05072019-9585014"
"1329","P-05072019-959","P-05072019-9593717"
"1366","P-05072019-959","P-05072019-9597963"
"1365","P-05072019-959","P-05072019-9598266"
"1367","P-05072019-960","P-05072019-9602618"
"1330","P-05072019-960","P-05072019-9607926"
"1368","P-05072019-960","P-05072019-9608618"
"1369","P-05072019-961","P-05072019-9611327"
"1370","P-05072019-961","P-05072019-9613141"
"1331","P-05072019-961","P-05072019-9615385"
"1371","P-05072019-962","P-05072019-9624155"
"1332","P-05072019-962","P-05072019-9626564"
"1372","P-05072019-962","P-05072019-9626634"
"1373","P-05072019-963","P-05072019-9631331"
"1374","P-05072019-963","P-05072019-9636459"
"1333","P-05072019-963","P-05072019-9638188"
"1334","P-05072019-964","P-05072019-9646223"
"1376","P-05072019-964","P-05072019-9646600"
"1375","P-05072019-964","P-05072019-9647284"
"1335","P-05072019-965","P-05072019-9654427"
"1377","P-05072019-965","P-05072019-9654890"
"1378","P-05072019-965","P-05072019-9655224"
"1336","P-05072019-966","P-05072019-9661027"
"1380","P-05072019-966","P-05072019-9662416"
"1379","P-05072019-966","P-05072019-9666266"
"1382","P-05072019-967","P-05072019-9671142"
"1337","P-05072019-967","P-05072019-9674868"
"1381","P-05072019-967","P-05072019-9676360"
"1338","P-05072019-968","P-05072019-9681512"
"1383","P-05072019-968","P-05072019-9682102"
"1384","P-05072019-968","P-05072019-9682433"
"1385","P-05072019-969","P-05072019-9692199"
"1386","P-05072019-969","P-05072019-9696017"
"1339","P-05072019-969","P-05072019-9696947"
"1388","P-05072019-970","P-05072019-9704937"
