"OD170620190169","C170620190287","2019-06-17 11:42:01","1","85","6","10","20","Accra | Osu Oxford Street",NULL,"SNI23-U304S-J20RT-W19002"
"OD170620190170","C170620190288","2019-06-17 16:28:32","0","86","0","0","699","Accra Ghana","E218C800-68D6-4E08-913B-E022BC1AD880",NULL
"OD170720190206","C170720190423","2019-07-17 07:59:01","0","128","0","27","250",NULL,"1230212A-C540-4F1D-AEA9-8377070A2B55",NULL
"OD170720190207","C170720190424","2019-07-17 09:57:56","0","129","0","20","400",NULL,"0C8271E5-799E-47BC-9CD0-B355600CF638",NULL
"OD170720190208","C160720190422","2019-07-17 12:23:04","0","127","0","12","40",NULL,"D1E78A26-7C59-454C-A725-CE71BA20D382",NULL
"OD180220190102","C180220190093","2019-02-18 15:54:00","0","43","5","10","44",NULL,"354F0CCE-B88B-4BEB-AD2F-200A6656D1E0",NULL
"OD180620190171","C170620190288","2019-06-18 10:03:25","0","86","0","0","699",NULL,"AA19ED61-DDDE-4431-883F-A82568AC2130",NULL
"OD180620190172","C170620190288","2019-06-18 10:15:07","0","86","0","0","579",NULL,"5CA9B213-4279-42E3-A112-E2BB0861B8B8",NULL
"OD190520190139","C240720170001","2019-05-19 15:34:59","0","34","0","10","27",NULL,"986B4182-BFED-44EC-AA60-F6C61B6164CD",NULL
"OD190620190173","C080520190150","2019-06-19 08:52:20","0","75","0","0","4169",NULL,"3EC48E82-32DC-4FE7-93CA-49DF99B8BE2F",NULL
"OD190620190174","C080520190150","2019-06-19 14:34:33","0","75","6","0","3673",NULL,"433E2FE1-7CA7-413B-9A00-98D243643741",NULL
"OD190620190175","C190620190304","2019-06-19 15:59:45","0","91","0","10","19.5",NULL,"16FC5656-8456-4944-B738-F0B22145D710",NULL
"OD190720190209","C190720190435","2019-07-19 21:57:45","1","130","5","12","25","Accra | 2nd Somo Link North Kaneshie",NULL,"SNI23-U304S-J20RT-W19002"
"OD200120190086","C240720170001","2019-01-20 13:05:38","0","34","0","10","250",NULL,"2AEB2476-B561-44F9-990D-DB6083DE8295",NULL
"OD200120190087","C240720170001","2019-01-20 13:07:35","0","34","0","10","195",NULL,"FD799D95-EEE2-46C2-8FBE-338E469C3B9D",NULL
"OD200120190088","C240720170001","2019-01-20 20:46:41","0","34","5","10","230",NULL,"CEEABD82-8953-49A3-B450-F9A30BF8A30D",NULL
"OD210620190176","C240720170001","2019-06-21 22:59:19","0","34","0","15","225",NULL,"D855239C-CB05-4A00-AD3F-4302B3158044",NULL
"OD220220190103","C311220180039","2019-02-22 10:42:50","0","44","5","10","44",NULL,"7AC876F5-3C61-436D-A6E8-4FC24CCA9274",NULL
"OD220220190104","C311220180039","2019-02-22 12:09:56","0","44","0","10","44",NULL,"E1E98F69-7E35-4530-B300-AEA7BE77AB9D",NULL
"OD220220190105","C080120190063","2019-02-22 16:42:33","0","45","5","10","70",NULL,"36A972F9-BA79-40CB-B862-EC0C863F5264",NULL
"OD220720190210","C100720190388","2019-07-22 10:43:02","0","119","0","175","45350",NULL,"99A78DD4-DF55-4040-97CD-E6AEDE609A1D",NULL
"OD220720190211","C100720190388","2019-07-22 10:51:55","0","119","0","65","20000",NULL,"BD72F1D1-8236-4E2F-8B72-E59C2B5EF7CD",NULL
"OD220720190212","C100720190388","2019-07-22 11:27:18","0","119","0","65","20000",NULL,"F5122B05-4E55-4EAA-BB09-944EB5C390D2",NULL
"OD230220190106","C240720170001","2019-02-23 13:04:25","0","34","5","10","35",NULL,"88F9E737-6463-4B33-8F1D-CDCA067BA62B",NULL
"OD230520190140","C230520190216","2019-05-23 10:58:30","0","65","5","0","500",NULL,"824925E7-FA6B-4D65-8F33-673D8064C5FF","SNI23-U304S-J20RT-W19002"
"OD230520190141","C230520190217","2019-05-23 13:15:25","0","66","0","0","1549",NULL,"827A01A6-AB77-4320-85AE-F3079E88BA6F",NULL
"OD230620190177","C240720170001","2019-06-23 11:17:41","0","33","0","15","200",NULL,"D127B58B-A702-40AF-B845-E4AEF534D826",NULL
"OD230720190213","C071220180037","2019-07-23 17:26:15","0","134","0","50","2900",NULL,"F803694E-E5B2-44B7-9A07-402482653E98",NULL
"OD230720190214","C071220180037","2019-07-23 17:31:42","0","134","0","12","40",NULL,"734ACE8C-E939-4B2B-A7D0-9F1F5B1C6988",NULL
"OD230720190215","C230720190439","2019-07-23 19:20:03","1","135","5","12","25","Accra | Adenta SSNIT Flat",NULL,"SUE06-BS06S-X20TO-M19005"
"OD240420190122","C240420190135","2019-04-24 10:44:18","0","53","5","10","10",NULL,"E2777F15-29A0-4304-889F-9832A4466D02",NULL
"OD240520190142","C080120190063","2019-05-24 09:38:55","0","45","5","10","235","Ghl Bank Annex","FF0D8C01-8931-4F34-8B11-D281823E7368","SNI23-U304S-J20RT-W19002"
"OD240620190178","C240620190318","2019-06-24 14:28:44","0","92","5","11","10",NULL,"81B4427F-CB66-48C3-B7FC-4199F907B8AB",NULL
"OD240620190179","C240620190319","2019-06-24 14:58:22","0","93","6","16","50",NULL,"F5A3908A-C007-488F-85C0-813EAF1F6EA8",NULL
"OD250420190123","C250420190136","2019-04-25 16:39:54","0","54","0","0","1048",NULL,"03367DBD-4FC7-46AA-8835-7841DF191851",NULL
"OD250620190180","C250620190320","2019-06-25 10:48:56","0","94","0","12","25",NULL,"5E635D73-5C59-4A01-A819-0095289608A3",NULL
"OD250620190181","C250620190321","2019-06-25 11:54:18","1","95","5","14","59","Accra | Kotobabi Police Station Down",NULL,"SUE06-BS06S-X20TO-M19005"
"OD250620190182","C240720170001","2019-06-25 12:55:14","1","1","6","24","50","Cape Coast | PLT 48 New Legon Adenta",NULL,"SNI23-U304S-J20RT-W19002"
"OD250620190183","C250620190322","2019-06-25 15:43:47","1","96","5","14","59","Accra | Osu",NULL,"SUE06-BS06S-X20TO-M19005"
"OD250720190216","C250720190446","2019-07-25 08:43:22","0","137","0","16","150",NULL,"6DA6A9F4-A819-4877-A739-5FD3F369ECC0",NULL
"OD250720190217","C250720190448","2019-07-25 19:18:42","0","138","0","12","65",NULL,"CDB9B5F6-1B84-4C7B-B4A6-914440773DC4",NULL
"OD250720190218","C250720190449","2019-07-25 19:29:20","0","139","0","12","60",NULL,"62C2DA25-A31B-490E-A20B-43C3BB5261BB",NULL
"OD260220190107","C260220190096","2019-02-26 22:04:02","0","46","5","10","30",NULL,"6799ECAD-B1A0-41D7-B1E6-1D8C62002EDF",NULL
"OD260320190118","C240120190083","2019-03-26 16:38:27","0","51","5","10","40",NULL,"7CB289F7-BD36-4E3E-91E6-140021F85FDE",NULL
"OD260620190184","C260620190324","2019-06-26 10:55:45","1","97","5","14","46",NULL,"F74B4A4E-48C4-401C-B6CD-8817F9697FE5","S8I09-8T05S-720XN-H19003"
"OD260620190185","C071220180037","2019-06-26 11:52:25","0","42","0","12","130",NULL,"D4AC1347-B4E9-45A5-A7B6-8105D858567D","S8I09-8T05S-720XN-H19003"
"OD260620190186","C260620190325","2019-06-26 13:26:16","0","98","5","12","130","Mile 7 Park","360073BD-E632-4AEE-AEDB-510C5736F093",NULL
"OD260620190187","C180420190132","2019-06-26 22:25:40","0","99","5","12","30",NULL,"4FBBB4E4-E5D0-49BC-9BEA-4B06FDA1EE4B","SUE06-BS06S-X20TO-M19005"
"OD270220190108","C240720170001","2019-02-27 13:29:12","0","34","5","10","30",NULL,"8D9B83B4-A17B-44B0-89E0-CA43585A1909",NULL
"OD270420190124","C240720170001","2019-04-27 07:01:25","0","34","0","10","35",NULL,"B99C8888-7081-411E-B877-61D8FD5131A6","SNI23-U304S-J20RT-W19002"
"OD270520190143","C150520190181","2019-05-27 12:31:50","0","61","5","10","15",NULL,"9B02FE31-93AF-4A3C-B38D-F2D29611A20A",NULL
"OD270520190144","C270520190227","2019-05-27 15:07:06","0","67","5","10","180",NULL,"9F32C810-D51A-40A4-A7D0-01B5BD4998D5","SNI23-U304S-J20RT-W19002"
"OD270520190145","C240120190083","2019-05-27 19:44:22","0","51","5","10","187",NULL,"915544C5-1433-4191-9F6F-7E06A4439675","SNI23-U304S-J20RT-W19002"
"OD270720190219","C270720190458","2019-07-27 10:14:12","0","141","0","17","70",NULL,"48693BCB-2683-4E06-920C-32C2F8ED1862",NULL
"OD270720190220","C270720190460","2019-07-27 11:13:56","0","142","0","14","75",NULL,"187A5A34-D482-4860-8F8D-5EEF670F130C",NULL
"OD270720190221","C270720190461","2019-07-27 11:16:16","0","143","0","20","1190",NULL,"8A69564A-7FFF-426E-BA1F-F396CF0F30CF",NULL
"OD270720190222","C270720190488","2019-07-27 14:17:07","0","145","0","12","70",NULL,"C348460D-0127-4E1C-B4EC-045A0DABF696",NULL
"OD270720190223","C270720190492","2019-07-27 14:55:57","0","146","0","12","16",NULL,"5377F744-9577-4EDE-B6E2-D03741813E14",NULL
"OD280220190109","C071220180037","2019-02-28 08:50:46","0","42","5","10","180",NULL,"F62D2EC0-1F34-4A24-AFE3-99233396839C",NULL
"OD280220190110","C071220180037","2019-02-28 10:27:54","0","42","5","10","50",NULL,"6543B22D-228D-4478-9977-00E705E1F4D7",NULL
"OD280520190146","C090220180030","2019-05-28 09:04:01","0","24","5","0","1429",NULL,"9629C699-7A7B-4400-AAA4-A1A2302D4500","SNI23-U304S-J20RT-W19002"
"OD280520190147","C280520190232","2019-05-28 10:52:16","0","68","0","10","30",NULL,"D7057971-E84F-4F4C-B402-6CBE8CB21122",NULL
"OD280520190148","C180120190069","2019-05-28 11:40:55","0","69","0","10","11",NULL,"238E8E73-73A8-4615-8E11-0551776550D4","SNI23-U304S-J20RT-W19002"
"OD280720190224","C280720190497","2019-07-28 11:35:30","0","147","0","30","8000",NULL,"738D972C-171E-4F96-AF04-E42C6D115A80",NULL
"OD290420190125","C290420190137","2019-04-29 20:20:30","0","55","0","10","155",NULL,"7D25E47A-CC34-4F0F-8B16-B20C51A4FDE7","SNI23-U304S-J20RT-W19002"
"OD290620190188","C290620190333","2019-06-29 14:16:29","0","101","0","50","1319",NULL,"9D1A6BEC-86B8-4AE2-8785-2530CC0C56D2",NULL
"OD290620190189","C290620190334","2019-06-29 16:42:06","0","102","5","12","21",NULL,"A28116D9-8FD4-4BC1-9A98-3A37A064E828",NULL
"OD290720190225","C290720190503","2019-07-29 05:45:19","0","151","0","27","85",NULL,"DA22B1DC-336F-463B-B916-D566A03A2E5D",NULL
"OD300420190126","C290420190137","2019-04-30 10:36:19","0","55","0","10","155",NULL,"931CB44B-EDA0-48DB-B8B6-268A3B57ACB1","SNI23-U304S-J20RT-W19002"
"OD300420190127","C290420190137","2019-04-30 11:11:29","0","55","5","10","155",NULL,"1B6855D5-A3C9-4824-ADFD-76C269AA758E","SNI23-U304S-J20RT-W19002"
"OD300620190190","C300620190338","2019-06-30 13:02:46","0","104","0","26","320",NULL,"2B0D6620-D863-4746-8790-10693A0D9E89",NULL
"OD300720190226","C300720190510","2019-07-30 07:45:10","0","153","0","20","300",NULL,"F9107C20-E90F-4527-B2DA-A8DBE68FCF33",NULL
"OD300720190227","C300720190516","2019-07-30 16:33:13","0","154","0","76","4914",NULL,"F6ABAFE4-7652-4B3E-B465-14B0674E5AED",NULL
"OD311220180065","C061220180035","2018-12-31 04:46:31","0","30","0","10","44",NULL,"63614CC8-9380-4D59-ABB9-D403393C9254",NULL
"OD311220180067","C240720170001","2018-12-31 14:15:09","0","34","5","10","44",NULL,"53134881-8E6A-4D26-AA65-F6512E7B2EED",NULL
